Player Name,Champion,Victory/Defeat,Kills,Deaths,Assists,Game Number
Umb12eon,Ornn,Defeat,4,9,27,1
Umb12eon,Ezreal,Defeat,8,11,10,2
Umb12eon,Karma,Defeat,8,9,10,3
Umb12eon,Sett,Victory,5,7,25,4
Umb12eon,Veigar,Victory,11,10,17,5
Umb12eon,Ekko,Victory,5,15,26,6
Umb12eon,Aurelian Sol,Defeat,7,14,18,7
Umb12eon,Ashe,Victory,12,11,30,8
Umb12eon,Kog Maw,Victory,9,8,17,9
Umb12eon,Morgana,Victory,8,10,22,10
Umb12eon,Sett,Victory,8,16,19,11
Umb12eon,Aphelios,Victory,12,9,18,12
Umb12eon,Nidalee,Defeat,8,9,10,13
Umb12eon,Ziggs,Victory,8,3,25,14
Umb12eon,Kayn,Defeat,1,5,4,15
Umb12eon,Veigar,Defeat,5,13,18,16
Umb12eon,Kalista,Defeat,17,15,26,17
Umb12eon,Pyke,Defeat,4,12,11,18
Umb12eon,Vel'Koz,Victory,13,9,25,19
Umb12eon,Samira,Victory,18,13,23,20
