Player Name,Champion,Victory/Defeat,Kills,Deaths,Assists,Game Number
justrob86,Caitlyn,Defeat,4,5,9,1
justrob86,Master Yi,Victory,1,9,5,2
justrob86,Brand,Victory,5,6,15,3
justrob86,Vel'Koz,Victory,3,4,16,4
justrob86,Jinx,Victory,6,8,7,5
justrob86,Nidalee,Defeat,1,9,9,6
justrob86,Caitlyn,Defeat,1,11,5,7
justrob86,Jinx,Victory,3,15,13,8
justrob86,Jinx,Victory,4,3,3,9
justrob86,Kha'Zix,Defeat,10,10,9,10
justrob86,Ashe,Defeat,0,6,13,11
justrob86,Ekko,Defeat,2,9,10,12
justrob86,Soraka,Victory,7,8,21,13
justrob86,Riven,Victory,10,9,16,14
justrob86,Master Yi,Victory,12,10,12,15
justrob86,Senna,Defeat,3,7,13,16
justrob86,Nidalee,Victory,12,4,29,17
justrob86,Jinx,Victory,4,8,21,18
justrob86,Kayle,Victory,12,9,19,19
justrob86,Lux,Victory,8,5,27,20
