Level Reached,Champion,Map,Kills,Deaths,Assists,Minions,Money Earned,Date Played
16,Senna,Howling Abyss,8,4,22,15,10.2k,10/27/2020
18,Cho'Gath,Howling Abyss,11,8,20,47,12.6k,10/27/2020
18,Zilean,Howling Abyss,4,12,14,49,12.4k,10/27/2020
18,Nidalee,Howling Abyss,22,7,19,54,19.8k,10/27/2020
15,Xayah,Howling Abyss,7,10,12,46,10.3k,10/27/2020
18,Ahri,Howling Abyss,20,8,32,163,23.5k,10/27/2020
16,Caitlyn,Howling Abyss,4,5,9,69,10.5k,10/26/2020
14,Master Yi,Summoner's Rift,1,9,5,79,10.3k,10/26/2020
15,Brand,Howling Abyss,5,6,15,16,9.9k,10/25/2020
15,Vel'Koz,Howling Abyss,3,4,16,27,9.2k,10/25/2020
17,Jinx,Summoner's Rift,6,8,7,48,12.7k,10/25/2020
14,Nidalee,Summoner's Rift,1,9,9,54,10.9k,10/25/2020
15,Caitlyn,Summoner's Rift,1,11,5,81,10.6k,10/25/2020
21,Jinx,Summoner's Rift,3,15,13,82,15.5k,10/25/2020
13,Jinx,Summoner's Rift,4,3,3,47,10.0k,10/25/2020
14,Nocturne,Howling Abyss,10,10,9,22,10.2k,10/24/2020
14,Ashe,Howling Abyss,0,6,13,39,8.7k,10/24/2020
13,Ekko,Howling Abyss,2,9,10,20,7.7k,10/24/2020
16,Soraka,Howling Abyss,7,8,21,7,10.6k,10/24/2020
16,Riven,Howling Abyss,10,9,16,25,11.3k,10/23/2020
18,Master Yi,Howling Abyss,12,10,12,62,14.8k,10/23/2020
15,Senna,Howling Abyss,3,7,13,30,9.2k,10/23/2020
18,Nidalee,Howling Abyss,12,4,29,35,14.7k,10/22/2020
16,Jinx,Howling Abyss,4,8,21,59,10.3k,10/22/2020
18,Kayle,Howling Abyss,12,9,19,75,16.2k,10/21/2020
18,Lux,Howling Abyss,8,5,27,59,14.6k,10/21/2020
16,Teemo,Howling Abyss,2,4,18,33,9.7k,10/11/2020
17,Veigar,Howling Abyss,8,8,12,44,11.9k,10/11/2020
16,Illaoi,Howling Abyss,5,5,20,40,10.9k,10/11/2020
9,Ekko,Howling Abyss,1,4,6,10,5.0k,10/11/2020
16,Twisted Fate,Howling Abyss,7,10,11,39,11.1k,10/11/2020
18,Alistar,Howling Abyss,10,13,33,16,15.1k,10/11/2020
15,Graves,Howling Abyss,7,10,7,52,11.2k,10/11/2020
17,Jhin,Howling Abyss,24,9,21,34,13.7k,10/10/2020
18,Tristana,Howling Abyss,9,8,19,74,13.4k,10/9/2020
15,Ekko,Howling Abyss,17,5,15,20,11.1k,10/2/2020
17,Master Yi,Howling Abyss,17,8,6,45,12.8k,10/2/2020
18,Fiddlesticks,Howling Abyss,9,8,29,67,13.8k,10/2/2020
18,Caitlyn,Howling Abyss,10,8,15,92,15.9k,10/1/2020
12,LeBlanc,Howling Abyss,8,6,3,14,8.6k,10/1/2020
15,Twisted Fate,Howling Abyss,7,9,13,50,12.2k,10/1/2020
18,Sivir,Howling Abyss,7,9,20,77,14.2k,9/27/2020
18,Vel'Koz,Howling Abyss,16,8,22,85,17.7k,9/21/2020
10,Thresh,Howling Abyss,1,6,10,10,5.7k,9/21/2020
9,Katarina,Howling Abyss,1,6,5,8,5.0k,9/20/2020
18,Veigar,Howling Abyss,11,13,37,77,19.9k,9/20/2020
16,Mordekaiser,Howling Abyss,5,8,15,30,10.7k,9/20/2020
16,Kayle,Howling Abyss,12,8,25,31,11.1k,9/20/2020
18,Darius,Howling Abyss,13,12,23,55,17.5k,9/20/2020
15,Shen,Howling Abyss,7,6,19,14,10.1k,9/19/2020
13,Kindred,Howling Abyss,1,8,6,41,8.1k,9/19/2020
17,Nidalee,Howling Abyss,12,6,11,17,12.0k,9/19/2020
13,Graves,Howling Abyss,5,10,9,30,8.9k,9/19/2020
18,Ezreal,Howling Abyss,12,8,25,56,14.8k,9/19/2020
15,Graves,Howling Abyss,13,6,20,51,11.0k,9/19/2020
18,Tristana,Howling Abyss,14,9,17,68,13.9k,9/18/2020
17,Ahri,Howling Abyss,7,15,16,55,12.8k,9/18/2020
18,Ashe,Howling Abyss,10,10,18,63,12.4k,9/18/2020
