Level Reached,Champion,Map,Kills,Deaths,Assists,Minions,Money Earned,Date Played
16,Ornn,Howling Abyss,4,9,27,38,9.9k,10/24/2020
15,Ezreal,Howling Abyss,8,11,10,38,10.7k,10/24/2020
14,Karma,Howling Abyss,8,9,10,26,10.1k,10/24/2020
17,Sett,Howling Abyss,5,7,25,34,10.8k,10/24/2020
18,Veigar,Howling Abyss,11,10,17,79,12.8k,10/23/2020
18,Ekko,Howling Abyss,5,15,26,77,14.5k,10/23/2020
16,Aurelion Sol,Howling Abyss,7,14,18,58,11.0k,10/23/2020
18,Vel'Koz,Howling Abyss,12,11,30,65,14.8k,10/22/2020
17,Kog'Maw,Howling Abyss,9,8,17,55,11.9k,10/22/2020
18,Morgana,Howling Abyss,8,10,22,77,14.7k,10/21/2020
18,Sett,Howling Abyss,8,16,19,37,14.0k,10/21/2020
16,Aphelios,Howling Abyss,12,9,18,54,12.8k,10/11/2020
16,Nidalee,Howling Abyss,8,9,10,23,10.9k,10/11/2020
17,Ziggs,Howling Abyss,8,3,25,36,11.4k,10/11/2020
8,Kayn,Howling Abyss,1,5,4,9,5.0k,10/11/2020
16,Veigar,Howling Abyss,5,13,18,58,11.1k,10/11/2020
18,Kalista,Howling Abyss,17,15,26,129,18.9k,10/11/2020
15,Pyke,Howling Abyss,4,12,11,13,11.1k,10/11/2020
18,Vel'Koz,Howling Abyss,13,9,25,52,14.3k,10/9/2020
18,Samira,Howling Abyss,18,13,23,48,15.9k,10/2/2020
15,Miss Fortune,Howling Abyss,7,12,13,55,10.7k,10/1/2020
18,Jarvan IV,Howling Abyss,5,15,33,43,13.4k,9/27/2020
10,Sylas,Howling Abyss,2,8,6,13,5.5k,9/20/2020
18,Jinx,Howling Abyss,15,18,31,101,21.0k,9/20/2020
16,Sett,Howling Abyss,8,8,19,32,12.1k,9/20/2020
15,Tristana,Howling Abyss,6,10,21,40,10.4k,9/20/2020
18,Yone,Howling Abyss,12,18,23,51,17.4k,9/20/2020
16,Kog'Maw,Howling Abyss,10,13,18,74,12.2k,9/19/2020
13,Kalista,Howling Abyss,4,9,5,58,8.9k,9/19/2020
16,Heimerdinger,Howling Abyss,7,13,15,59,11.5k,9/19/2020
12,Sona,Howling Abyss,2,10,9,17,7.1k,9/19/2020
18,Ezreal,Howling Abyss,12,6,22,87,14.4k,9/18/2020
18,Miss Fortune,Howling Abyss,15,13,12,71,15.5k,9/18/2020
17,Bard,Howling Abyss,7,13,20,37,10.6k,9/18/2020
12,Aurelion Sol,Howling Abyss,6,11,11,45,7.9k,9/18/2020
12,Sylas,Howling Abyss,4,7,6,17,8.0k,9/12/2020
18,Xayah,Howling Abyss,9,17,26,80,16.3k,9/12/2020
15,Teemo,Howling Abyss,7,10,17,26,9.7k,9/8/2020
18,Aphelios,Howling Abyss,9,15,19,47,12.7k,9/8/2020
15,Master Yi,Howling Abyss,7,14,9,32,9.6k,9/8/2020
13,Zyra,Howling Abyss,3,11,18,38,8.5k,9/8/2020
18,Sett,Howling Abyss,7,15,27,25,12.2k,9/5/2020
15,Pyke,Howling Abyss,7,15,9,12,10.7k,9/5/2020
18,Jhin,Howling Abyss,5,9,39,67,13.4k,9/5/2020
18,Lillia,Howling Abyss,10,14,22,41,14.3k,9/5/2020
10,Gnar,Howling Abyss,4,3,11,11,5.8k,9/5/2020
18,Xayah,Howling Abyss,8,14,22,74,14.6k,9/5/2020
16,Ezreal,Howling Abyss,10,9,15,55,11.3k,9/5/2020
14,Ezreal,Howling Abyss,10,2,14,33,10.0k,9/5/2020
12,Ahri,Howling Abyss,5,7,6,31,7.6k,9/3/2020
17,Zilean,Howling Abyss,8,5,14,36,11.5k,9/3/2020
18,Annie,Howling Abyss,10,17,28,56,17.5k,9/3/2020
16,Kalista,Howling Abyss,13,12,17,45,12.9k,9/3/2020
17,Sett,Howling Abyss,4,14,15,25,11.1k,9/1/2020
18,Brand,Howling Abyss,19,12,21,23,14.1k,9/1/2020
18,Lux,Howling Abyss,5,8,38,35,11.9k,9/1/2020
18,Pyke,Howling Abyss,18,16,18,15,16.4k,9/1/2020
16,Lux,Howling Abyss,5,10,22,41,11.1k,9/1/2020
18,Ahri,Howling Abyss,10,13,47,46,14.6k,8/30/2020
17,Sett,Howling Abyss,7,16,18,31,11.6k,8/29/2020
18,Quinn,Howling Abyss,11,22,29,81,17.4k,8/29/2020
14,Miss Fortune,Howling Abyss,9,5,21,38,10.4k,8/29/2020
15,Karma,Howling Abyss,2,10,16,22,8.8k,8/29/2020
18,Miss Fortune,Howling Abyss,12,14,16,131,17.5k,8/29/2020
17,Vel'Koz,Howling Abyss,10,9,27,47,12.7k,8/29/2020
16,Gnar,Howling Abyss,4,9,17,55,11.3k,8/29/2020
14,Tahm Kench,Howling Abyss,8,8,5,21,9.9k,8/28/2020
18,Veigar,Howling Abyss,11,13,18,67,13.1k,8/28/2020
18,Vel'Koz,Howling Abyss,11,11,33,54,14.8k,8/24/2020
17,Miss Fortune,Howling Abyss,6,11,20,68,11.9k,8/20/2020
12,Kalista,Howling Abyss,5,11,5,29,7.0k,8/20/2020
16,Miss Fortune,Howling Abyss,12,13,11,47,12.3k,8/20/2020
18,Garen,Howling Abyss,9,17,15,49,13.1k,8/20/2020
11,Neeko,Summoner's Rift,7,2,26,50,9.0k,8/19/2020
13,Neeko,Summoner's Rift,22,1,8,61,11.9k,8/19/2020
8,Lux,Summoner's Rift,1,6,4,49,5.2k,8/19/2020
12,Kalista,Howling Abyss,2,9,8,41,8.2k,8/19/2020
17,Jayce,Howling Abyss,6,11,17,30,10.6k,8/18/2020
16,Darius,Howling Abyss,6,13,16,23,10.4k,8/18/2020
18,Veigar,Howling Abyss,6,13,0,138,14.5k,8/18/2020
11,Morgana,Summoner's Rift,6,3,11,41,7.6k,8/18/2020
18,Kindred,Howling Abyss,17,18,18,115,18.6k,8/17/2020
16,Kalista,Howling Abyss,20,7,14,39,12.1k,8/17/2020
18,Vayne,Howling Abyss,8,16,17,39,13.3k,8/17/2020
11,Sett,Howling Abyss,7,11,7,17,7.8k,8/17/2020
12,Jhin,Howling Abyss,3,6,11,17,6.8k,8/17/2020
18,Sett,Howling Abyss,17,12,18,39,16.0k,8/16/2020
18,Neeko,Howling Abyss,11,11,32,66,14.6k,8/16/2020
16,Gnar,Howling Abyss,3,8,29,27,9.7k,8/16/2020
18,Blitzcrank,Howling Abyss,7,10,40,32,14.2k,8/16/2020
